,data_area_name,length_from_coast
93,DUBAI INDUSTRIAL CITY,0.8877955198958134
94,Al Suq Al Kabeer,0.510277292296698
95,DUBAI INVESTMENT PARK SECOND,0.7786887429813962
96,DUBAI HEALTHCARE CITY - PHASE 1,0.5484698392377205
97,Al Yufrah 2,0.6442382136108038
98,CHERRYWOODS,0.7440615892978568
99,MAJAN,0.6790596429721704
100,Al Barsha Third,0.6249996417971431
101,JADDAF WATERFRONT,0.5631557218802345
102,SUSTAINABLE CITY,0.7283286574729086
103,BLUEWATERS,0.6536727845643218
104,JUMEIRA BAY,0.5371762091764398
105,JUMEIRAH HEIGHTS,0.6669725923161985
106,Dubai Investment Park Second,0.7786887429813962
107,Al Warqa Third,0.6357456661384804
108,Al Khawaneej First,0.6642601145095451
109,DUBAI SCIENCE PARK,0.6854861043137834
110,Al Garhoud,0.5477940193901537
111,Al Karama,0.5329626173143026
112,DUBAI HEALTHCARE CITY - PHASE 2,0.6686703020975898
113,Port Saeed,0.5356885059432891
114,Al Rashidiya,0.5925018216292359
115,Al Nahda Second,0.5256231212505517
116,Al Warqa Second,0.639467291257833
117,Nad Al Hamar,0.6050930993525471
118,Al Qusais Third,0.5501949402721084
119,Abu Hail,0.5062464473365627
120,THE WORLD,0.6961173572878098
121,FALCON CITY OF WONDERS,0.6900432019073445
122,Jabal Ali Industrial First,0.7179893470432501
123,DUBAI INVESTMENT PARK FIRST,0.7786887429813962
124,Al Twar Third,0.5543059502820488
125,Nad Al Shiba Second,0.6253148483078358
126,PEARL JUMEIRA,0.5136923820332743
127,Jumeirah First,0.6639509502245492
128,DUBAI SOUTH,0.5419413550085348
129,CITY WALK,0.5517057450277095
130,Nad Al Shiba First,0.6253148483078358
131,Nad Al Shiba Fourth,0.6253148483078358
132,Trade Center Second,0.5448577514040881
133,Warsan First,0.6590031107778573
134,Um Suqaim First,0.590330776211144
135,SUFOUH GARDENS,0.6280878335777103
136,Al Bada,0.5382348009060925
137,MBR DISTRICT 7,0.6843302928796634
138,LIWAN 2,0.6856153690643285
139,Al Warqa First,0.639467291257833
140,Al Hudaiba,0.5253365595931745
141,Muhaisanah First,0.5735716161668369
142,Al Jafliya,0.5445978441520035
143,Al Satwa,0.5493104081744712
144,Um Ramool,0.573015544809631
145,Al Thanyah Third,0.6071211654846922
146,POLO TOWNHOUSES IGO,0.6248217292099192
147,Al Waheda,0.5054950951796967
148,Naif,0.5103792797869571
149,Island 2,0.6543612890732093
150,Al Muteena,0.5178364807354525
151,Um Al Sheif,0.6112828873718281
152,Jumeirah Second,0.6843302928796634
153,Dubai Investment Park First,0.7786887429813962
154,Al Barshaa South Third,0.6902375164663356
155,Al Mezhar Second,0.6130347641053517
156,Al Aweer Second,0.6187917013127111
157,Al Ras,0.5981226314327097
158,PALM DEIRA,0.48322079591881223
159,Palm Deira,0.48322079591881223
160,Nad Shamma,0.5925833565955783
161,Al-Cornich,0.5025058847942466
162,Al Qusais Second,0.5501949402721084
163,TECOM SITE D,0.8230888849921526
164,Trade Center First,0.5448577514040881
165,Al Saffa Second,0.6716484640294936
166,Al Thanyah Fifth,0.6071211654846922
167,DUBAI MARITIME CITY,0.501888118517745
168,DUBAI WATER CANAL,0.5710463474797279
169,Oud Metha,0.5412990769469901
170,Al Qusais First,0.5383730242516317
171,Al Twar First,0.5543059502820488
172,Jumeirah Third,0.6902375164663356
173,Muhaisanah Third,0.5735716161668369
174,Um Hurair Second,0.5485215969664785
175,Al Twar Second,0.5364727939897871
176,Al Hamriya,0.5183356445651125
177,Rega Al Buteen,0.5274635147605282
178,Al Baraha,0.5063062086774062
179,Ras Al Khor,0.5944747084428835
180,Al Warsan Second,0.6429882576416169
181,Um Suqaim Third,0.590330776211144
182,Hor Al Anz East,0.5187798742164621
183,Al Dhagaya,0.505540361299362
184,Al Goze Industrial First,0.6265140394960826
185,Jabal Ali Industrial Third,0.7179893470432501
186,Saih Shuaib 2,0.8360637402619925
187,Al Nahda First,0.5171005146545972
188,Um Nahad First,0.5171005146545972
189,MINA RASHID,0.5197754762161081
190,Muhaisanah Fourth,0.5735716161668369
191,DUBAI GOLF CITY,0.7356267490387427
192,CITY OF ARABIA,0.6869962373222287
193,Al Qusais Industrial Fourth,0.5377497502181193
194,Wadi Al Amardi,0.6712665601013447
195,Wadi Al Safa 4,0.69649945070045
196,HORIZON,0.6623123748690203
197,Al Khairan First,0.660582712039156
198,Ras Al Khor Industrial First,0.6228754442527772
199,Muragab,0.5251925082880871
200,Al Goze Industrial Third,0.5958980834147567
201,Al Qusais Industrial First,0.5383730242516317
202,Al Goze Industrial Fourth,0.5958980834147567
203,DUBAI INTERNATIONAL ACADEMIC CITY,0.6853777006764511
204,Al Saffa First,0.660582712039156
205,Al Safouh First,0.660582712039156
206,Ras Al Khor Industrial Third,0.6228754442527772
207,Al Thanayah Fourth,0.6038698425263004
208,Al Yufrah 1,0.6240230293815188
209,Dubai International Airport,0.5537623765518657
210,Um Hurair First,0.5485215969664785
211,Al Goze Industrial Second,0.5958980834147567
212,Al Qusais Industrial Fifth,0.5377497502181193
213,Al Rega,0.5341456708212189
214,Al Buteen,0.5274635147605282
215,DUBAI DESIGN DISTRICT,0.5822991556312023
